request_id,traceID,root_duration_ms,span5_method_duration_ms,total_duration_ms
1,fb72a842b567888c0818343ce1569a9b,1.188,4.05,4.05
2,42dd787cd6ca09d1c89c550708e5fc88,1.198,3.941,3.941
3,42b6d4c6935df96ee8928c8272b16b7f,1.278,4.219,4.219
4,9669a04080f9fd265eafc3bb8c7d32a6,1.101,3.803,3.803
5,1e78a7d6168fa0528226857a8547aa30,1.22,3.756,3.756
6,4bf507eab3ea340d7146724fbcc74ac9,1.282,3.941,3.941
7,a95f17a924ece0a62fa92f90e3c6b9c6,1.268,3.776,3.776
8,c932ee36ad5cf4636d75fde1a34fe42a,1.59,4.173,4.173
9,481c1528746fdda8cadc893b4d81eb25,2.286,3.786,3.786
10,b986fd062dde97738d490b0c0c639374,1.177,3.941,3.941
11,fd0009fb5a7e9089a44fb8416696f50e,1.109,4.274,4.274
12,57d156dbaef13c14c6aa2ff31ce289ec,1.08,4.112,4.112
13,d6c3110ee8a1748c60ad371a51a70f73,1.172,4.022,4.022
14,c8a448ce712fbd41d1e998be32346f4a,1.15,4.015,4.015
15,ac904ce474bfdbe86ee4ba1eeffc163f,1.472,5.339,5.339
16,0e609213c7714dd5e450d598281f6413,1.355,4.959,4.959
17,980f4b0bb9db4aa8eb74bda795d4efda,1.214,4.233,4.233
18,5637f9bfe6e51c047285b484a5ded21a,1.219,4.435,4.435
19,94d2d387c1f30d8ad4f45e5e8ebe12c5,1.181,4.937,4.937
20,83822ffd23dec12a8c3597acfb79fc2c,1.22,4.547,4.547
21,43130018285f1c0b0c39ede7306d7444,1.312,4.471,4.471
22,3daeaa66040b024d32844ec582513109,1.184,4.276,4.276
23,4eb456da5b2d340517e18232a14ed8e0,1.126,4.152,4.152
24,60a13c32c95178b03a0134e073b6d196,1.153,4.751,4.751
25,6389cd8279623b04a085ee57d11de2eb,1.19,4.416,4.416
26,ad52ccdc5a772b683231d2034d5575c3,1.228,4.62,4.62
27,1ca477902427d4eee2f7d440bdadd752,1.173,4.25,4.25
28,c0ce2a7f1f9ad8e30812f6a9dc9e5003,1.251,4.674,4.674
29,6dc277f79451aa0679e9cc1ad54505e5,1.325,4.659,4.659
30,9c817139a6e5c0fc2809d5726a8dec2b,1.162,4.205,4.205
31,b60018d973e3e7d4b270c6809680e045,1.32,4.504,4.504
32,e085e12b5c0046b63fcb04c12308623b,1.267,4.495,4.495
33,dd4c339a0260116128c1761b91641dc0,1.131,4.254,4.254
34,cf926652d5dc886ae553b402bc9393c0,1.201,4.275,4.275
35,fc3cb31c7a71d98ae038d06b9ae8e28a,1.197,4.467,4.467
36,a714183e744e4064fdac999ca9d01be2,1.496,4.473,4.473
37,9ac88a83d2bc321748ea66174e06ec13,1.51,4.472,4.472
38,e18e8597eeac3e15e2235d32cdf1cf9b,1.167,4.334,4.334
39,c5894f837a83d31f351361d2b38bf3ba,1.515,4.383,4.383
41,632649249f1c24db1741286a9dc6ae6f,2.184,3.511,3.511
42,a007c612a25fd336d47883241da9066f,1.15,3.989,3.989
43,d0e123fea2abbe561670e8173f1d4725,1.105,4.433,4.433
44,b9721ac9321103b5c33b350b57719403,1.198,3.702,3.702
45,63156a18f8b6629482c069f9efb3529b,1.356,4.192,4.192
46,ecf4f96693d0ef7d63b633cc1a44669d,1.088,3.825,3.825
47,6efe11db4308f1bb1dd1e1c32b851d1b,1.097,3.565,3.565
48,0cdc1b6e3b0459a1b24e2ff762ecb37d,1.051,3.53,3.53
49,86c921e39a8d6e13d9e23a04ce0c7ddb,1.002,4.016,4.016
50,93aadeb464cedabe19f30ed6380ba5aa,0.978,4.031,4.031
51,c7e7623613c06e6a3bf542bb0cdf454d,0.773,3.486,3.486
52,4f860851dc0af7ce00da6d801bab1bb2,0.74,4.387,4.387
53,795d9412eb4fc48c851735ec0c23e75c,0.726,3.755,3.755
54,f79b25f9a491162536cd9064030e953e,0.835,3.612,3.612
55,e113348b0aed409a2c4e61b8ede41825,0.736,3.352,3.352
56,02e1041766d3072312848a068c7f36e8,0.698,3.236,3.236
57,37bc88ba88142f49e2802db8ebda3701,0.894,6.044,6.044
58,522fc9cf23fb82f106c302f3277dc452,0.815,4.014,4.014
59,ac1197e13301535bfacee43dee754568,1.101,7.653,7.653
60,3e1018e165a3d6b5cddede302a0f74cf,0.956,3.723,3.723
61,b3b04831915c383a0622829f57b799fd,0.96,3.968,3.968
62,52ab67556fa66a8cecab0308f849ccf4,1.552,5.373,5.373
63,a977ca0276ea5a1342db979d2449dff4,1.08,4.42,4.42
64,1896035634e59d82e9ac4c29a327f92f,0.926,3.713,3.713
65,4f92c440cf9644d61b1761d0a556ec21,0.931,4.241,4.241
66,4979b55ea17afdd6ce648a9b8f8cf435,1.458,5.307,5.307
67,9d207350c67a35cea7a46f33d2646b53,1.049,4.878,4.878
68,659d035584038e3550ed69bc53abae69,1.356,4.759,4.759
69,8c680db7bcf26b02fec9735448f2a1c8,1.13,4.43,4.43
70,7701b4793c9e73c4a104800c76047ada,1.464,4.778,4.778
71,3c216501f30809031eff29620939c8ea,1.476,5.96,5.96
72,447c5e18ff4a35448d337be858685036,1.093,4.397,4.397
73,f03d6fb2ddbc778bdbf33c46f6e368a0,0.944,4.576,4.576
74,08bdb97eec09f360f9c3f082b27b5617,0.962,5.134,5.134
75,10e505661f27fa296bc2cedf9badc808,1.348,5.628,5.628
76,3ab48441f07f65eb1c55a5a897c65f0d,1.125,5.369,5.369
77,2e4386af20c99309ccbc891853d846c0,1.053,4.858,4.858
78,ff7fa9a7878990131787f3399b7b6853,1.099,5.187,5.187
79,6f05b7d452f1b9ef5c77e772c36ae530,1.171,5.309,5.309
80,dffccd510274d4439030f405d9b14789,1.229,4.931,4.931
81,7a4335df8bb28ec852b5dc0608d87a45,1.211,4.886,4.886
82,042ad70306c6eff481192acaf474706e,1.725,6.202,6.202
83,446eaee1a1da2f35a2c7a7f9c0cbc7fb,1.303,5.038,5.038
84,472ab9f4b123bdee0ba88bb2042ca41f,1.177,4.997,4.997
85,0efe04a4ce645a788b8891e9ebe985f2,1.259,4.706,4.706
86,e05fea5acd908f19ee457845a2694326,1.596,5.388,5.388
87,84943d4ad01f656c80664050060c7b19,1.186,4.455,4.455
88,339e876198b474302c5315a0461e0903,1.131,4.394,4.394
89,40421df183b69c33db4e3a3dee7fc991,1.138,4.393,4.393
90,00e379e271af75376d1440acd6c054a2,1.107,4.602,4.602
91,ecf69d08d7f9c03bc7b275634273a0c4,1.089,4.836,4.836
92,81b6b3bf411e7b803edcbc4dce7c8ab5,1.081,4.706,4.706
93,0fd6877ab5859e82b646da106b74028c,1.005,4.363,4.363
94,33119a091b35895bcd198cf2f38b19c9,1.363,5.223,5.223
95,317452d4b5434d0054ed38701435536f,1.547,6.067,6.067
96,2c9aad50d5eb6360789a360f515a80b9,1.626,6.11,6.11
97,db3ce856bb1aea85abd82c8f480bf0fa,1.078,4.255,4.255
98,c01f909f69193df147dced5664d2e57d,1.276,4.536,4.536
99,3e7317189417829dd5e67529e419c03b,1.274,4.275,4.275
100,a87b751b092c95996b3d778465c0dc8f,1.038,4.371,4.371
101,6e162650bf012db5f0b660f427569783,1.088,4.439,4.439
102,0497a73786ffd3ed08dd5515f64d6932,0.898,4.056,4.056
103,57a92283efcbd3b036acf22bc529245c,1.042,4.325,4.325
104,e4db7628311207dd9df4a7eeda459953,0.974,4.003,4.003
105,9f4a28d475346d285f85cdd38620b6f7,0.878,3.806,3.806
106,5bbd82b9af231db3f7e5d3f8ceccf030,0.973,3.756,3.756
107,0f3f89b83fc60cc6b1c00009dffc28a1,0.952,3.752,3.752
108,7a6c6a88495784a1bdc85f2e43351156,0.879,3.914,3.914
109,1036b59e9b377a62ba18cbf769d54926,1.056,3.969,3.969
110,cccd7e900f89cd8b74bd946b83820345,1.165,4.29,4.29
111,ce947b585a6569a71bfa4db28d09b9bd,0.991,3.845,3.845
112,e50c566e4ddb4ec3ec17ebdb4192d5f8,0.983,3.862,3.862
113,6b4a1fff5899527d0b26aa59cc555321,1.251,4.401,4.401
114,0c1e48696f4d8142d5c762c0c3a25c24,1.07,4.243,4.243
115,4b3e4cec3555076240777228897a296e,1.078,4.318,4.318
116,6a8652b017f145e4748cd5b1b3619eb8,1.367,5.021,5.021
117,67947ee0d5c36434e23d5d8c2418df3c,1.093,4.731,4.731
118,e03fed4c79a974620f6f48520e694cb2,1.776,6.126,6.126
119,d0f08d97b8c229b0abf14f03cc6ac3f8,1.281,5.605,5.605
120,942bdf241b8aa3c27482b41e28cfc2ee,1.069,5.092,5.092
121,e6187c5eb5589f892aa29f1664f6b5ed,1.329,5.069,5.069
122,49a2e2d82b8114a5b0db2d93ffe5eb82,1.311,5.304,5.304
123,7c52785b3ddb4e16d42ad9f149466a89,1.076,5.0,5.0
124,4b608f8aba90414c1bfdcd8e69755522,1.362,5.451,5.451
125,b4020b749dd6e449177fda03028c1998,1.515,5.597,5.597
126,6ed56004b1284ffdba6c63ed030409d9,1.156,5.056,5.056
127,07022e3185fa7ce872d5644a118e57fa,1.281,4.936,4.936
128,58fba91629ef9ae688ea97781cdd6da1,1.178,5.436,5.436
129,0b26c05df2fe16599cb81162d399301c,1.192,4.984,4.984
130,ee9f36266ce428df10ba23d582d4e4e1,0.98,4.62,4.62
131,8354b1553b4675bdb6c9d95c1cddc297,1.424,5.406,5.406
132,44e31daf590892fa30ebe6503f1e0728,1.17,4.723,4.723
133,c08a06344710061c0b3a15a142e0bb9f,1.158,4.698,4.698
135,c764ab8896573faafff9007e62f6639d,2.282,8.495,8.495
137,2d78a284dfe74130338973bbb3fe3bf4,1.388,5.294,5.294
138,a45a2d7f9e9718c13dc4b402347d646c,1.396,4.806,4.806
139,a6bbb1a3ca5ad2b774160fdf212653c6,1.148,4.97,4.97
140,5e500845c1e18ece49e9aa4ba56c192e,1.412,5.153,5.153
141,760aebdd1f539cc11efef668208fe319,1.35,4.928,4.928
142,c1dcacb2a254888ea3244ba308ee9e4b,1.28,4.803,4.803
143,8c570a821f7558c10218af98d0e89a72,1.534,5.235,5.235
144,2e13fe0504a4196753a0fdd5704c67d0,1.15,5.35,5.35
145,73d7ab4d63ee6970a557431e4c0b2b4d,1.193,5.242,5.242
146,71ecb97fd89641052b6c402edc012095,1.43,5.283,5.283
147,6f77eead9954bdcb24a3f2b3f8882bd7,1.277,4.988,4.988
148,27a32c5beeefab31d1adadfc63382269,1.58,4.177,4.177
149,3a4753bde3cb0981174a24a056d42e37,1.073,4.234,4.234
150,62cac4612ec0be5c303086198547e249,1.151,5.444,5.444
151,31e4fb5e7665588ccc40658d7d6419b5,1.118,5.466,5.466
152,78eec388e991b7b5db0f40e65bef05ee,1.195,7.558,7.558
153,f41142b7b8bc7c533d58f0f50d0bdf11,1.576,5.188,5.188
154,1415cf00657380786af6facb3082b5bd,1.094,5.219,5.219
155,649080397d01192a4724422298c12b1a,1.169,3.916,3.916
156,8131e37caf06c2b5abd91f55fb00f7a9,1.252,3.485,3.485
157,343968d76b0616332cefc78e4afcc560,1.373,4.367,4.367
158,bacce1ff22be33fc397ed9b1250c2a0d,1.127,4.415,4.415
159,892374e9dd588ce7dcb49b6730c69578,1.137,4.155,4.155
160,05933be513c1f9f20826eb6e8d5b6238,1.07,4.275,4.275
161,ad5791b9d39dcfeea10bd997783e2860,1.128,3.938,3.938
162,0ca122157becb2ad04c9de8b03ea66f4,1.176,3.989,3.989
163,e85316c74e3aaddfc569659521a5fd7b,1.67,3.985,3.985
164,de5a7017ef14ee161ef55d9046c02c80,1.199,3.754,3.754
165,d36c4fc5950ab8ed1884213b8a1c3e43,1.198,3.825,3.825
166,212f05c74cf6b2686a6f6b0ea5918a23,1.098,4.347,4.347
167,ab0b5cd013292d09ccaaabf5f2321639,1.111,3.91,3.91
168,590ea74338aa87ced9d42ecf87a54742,1.087,3.844,3.844
169,67898952c3ecab0c0ea41e792197c9ed,1.106,3.948,3.948
170,8def31cc10be992d744631c883902371,1.592,4.274,4.274
171,3d6c8a0ed2d5c36ae75aa4767b0196c6,1.175,4.43,4.43
172,3fbce7e241de8c0a2ccf4340bdbd2165,1.129,4.169,4.169
173,dfdc4c8832ae753914e410c9f8cba22f,1.084,3.979,3.979
174,02aa4c3118497996cb1d8dd11b278dfe,1.043,3.946,3.946
175,85f48699433aa7850707f7b36e5df0be,1.112,4.23,4.23
176,7c0600be068f47074a127da3cc4a29cb,1.404,4.061,4.061
177,65607f60ce1e4958d8e52edd4e242dae,1.235,3.763,3.763
178,dbcbc8f225fdd65c5c2258c340083aae,1.258,3.937,3.937
179,f9ace5b2009c504ceb9990a7ba78154f,1.207,3.784,3.784
180,fb1881a1db240c41411c486cc0e64c4f,1.104,4.028,4.028
181,b7e2d3222ad4e31a56d35945d3169d38,1.061,3.88,3.88
182,52730382b59563af0c7900dae72f171f,1.029,4.031,4.031
183,76276efa408ef65db75936cff0843152,1.021,3.791,3.791
184,0600bfc85a9298f82371e458c87d82fc,1.112,3.711,3.711
185,2f5838aec4aa1865aeb0c847c19408a1,1.097,3.874,3.874
186,a60a628e1870da0b049ce688a0129d39,1.246,3.836,3.836
187,0c25ab6ae4987f56ede71efcfea4e8f9,1.077,3.81,3.81
188,23d18c1fc1c932375249d717619b2b8c,1.166,3.762,3.762
189,07751142835c1dec6b01c2da181ea9ec,1.291,4.033,4.033
190,02eb0945a8645f68ccd2e2dce5073415,1.174,4.07,4.07
191,bc8fe90d7ea92d5ef77b23012d3f23b0,1.081,3.892,3.892
192,b6bdf8594296dc593ea650e0e8cde956,1.093,4.725,4.725
193,739cc3a5023b46937f1179d65e3aa05a,1.19,3.969,3.969
194,0b4a35815d3028c4f323b64be5648b48,1.419,4.06,4.06
195,ac43af8950eccd04130153b9484b239b,1.126,3.857,3.857
196,9b2e64b568d1f1aee22565607657eca3,1.463,3.629,3.629
197,0dcff7ef7b8eb97beb70654046766d50,1.179,3.578,3.578
198,bbcad57ca74051ac87c76454240ea19b,1.138,4.292,4.292
199,f0ac72b040229ddb8c66bbd441343e73,1.114,4.25,4.25
200,2dc1a9edf9a64aebaf88cb8a4ba6aeaa,1.087,3.866,3.866
201,99083bc2a4fa6a8e29cc10f57332ece1,1.082,3.919,3.919
202,c98c6d53a4ecbb4c4a85aa1079726018,1.225,4.193,4.193
203,6804249a2206b45678678617fc00416d,1.216,3.957,3.957
204,ba34465dadd66f63fbac80b9386c9bae,1.334,4.097,4.097
205,942d73ec172e3312c7e86a32fb2e3f8d,1.147,4.048,4.048
206,8a21ad5032188b0ad02aa0e38c8b0ebe,2.476,3.918,3.918
207,674e90624a1272c69a98ac993b06eb4f,1.117,3.919,3.919
208,4ca118f40a15582d55eb9943c220008d,1.18,3.725,3.725
209,4fcff6ac4fa11ae5617c2d7b7e5fd33d,1.174,4.06,4.06
210,f1c97d436f2b7b1fa1e827c602329c32,1.266,3.782,3.782
211,db57ba153e76ad522eff1aeb6e656415,1.179,3.844,3.844
212,a32d7cb0e753f50eab019425ed9def9d,1.164,3.952,3.952
213,568ea6061456fc452021d36c8f7eac7d,1.242,4.266,4.266
214,233c5f33b5044aed62d2d1340be7a2b3,1.132,3.827,3.827
215,59416343059c5d86e91039d8fad58d7d,1.141,3.756,3.756
216,35bc7fdf36bae806d734f836128ada5e,1.266,4.008,4.008
217,8ebfc992eb66b9b2878b2d72064c3155,1.172,4.107,4.107
218,6fc49509d6583442e1da3375ff334847,2.255,3.849,3.849
219,6cebbf263c8a0f10e924a9f58414cda5,1.202,4.152,4.152
220,48cc9367965b9973f517f3cd5e4c2193,1.214,3.882,3.882
221,9105d55b13f82d43fe52a1a9444264a2,1.166,3.61,3.61
222,9faf33cdc95dba73432af1c63b02a29d,1.245,3.783,3.783
223,08d074bb828b329d30c3190b9be789df,1.435,4.531,4.531
224,ef75ec475e161c3f230a9a070026d4b9,1.301,4.492,4.492
225,e2ced8cb15e370e8a1e0ecd793f029cb,1.464,4.41,4.41
226,2af3d70d438ca53035ee446f9b23284d,1.183,3.931,3.931
227,385d169d443b95f08fb1d6c94f7f1096,1.231,4.471,4.471
228,dda2ecd1268f1b8a568ccc057bd27541,1.186,4.908,4.908
229,ce638e5a5546835c6cd7c1045248af13,1.197,4.264,4.264
