timestamp,total_queue,high_in_high_queue,low_in_high_queue,high_in_low_queue,low_in_low_queue,dropped_high_in_low,dropped_low
2025-08-28 13:54:25,0,0,0,0,0,0,0
2025-08-28 13:54:26,0,0,0,0,0,0,0
2025-08-28 13:54:27,0,0,0,0,0,0,0
2025-08-28 13:54:28,0,0,0,0,0,0,0
2025-08-28 13:54:29,19,9,0,0,10,0,0
2025-08-28 13:54:30,19,9,0,0,10,0,0
2025-08-28 13:54:31,19,9,0,0,10,0,0
2025-08-28 13:54:32,19,9,0,0,10,0,0
2025-08-28 13:54:33,19,9,0,0,10,0,0
2025-08-28 13:54:34,19,9,0,0,10,0,0
2025-08-28 13:54:35,19,9,0,0,10,0,0
2025-08-28 13:54:36,19,9,0,0,10,0,0
2025-08-28 13:54:37,19,9,0,0,10,0,0
2025-08-28 13:54:38,19,9,0,0,10,0,0
2025-08-28 13:54:39,38,18,0,0,20,0,0
2025-08-28 13:54:40,38,18,0,0,20,0,0
2025-08-28 13:54:41,38,18,0,0,20,0,0
2025-08-28 13:54:42,38,18,0,0,20,0,0
2025-08-28 13:54:43,38,18,0,0,20,0,0
2025-08-28 13:54:44,38,18,0,0,20,0,0
2025-08-28 13:54:45,38,18,0,0,20,0,0
2025-08-28 13:54:46,38,18,0,0,20,0,0
2025-08-28 13:54:47,38,18,0,0,20,0,0
2025-08-28 13:54:48,38,18,0,0,20,0,0
2025-08-28 13:54:49,57,27,0,0,30,0,0
2025-08-28 13:54:50,57,27,0,0,30,0,0
2025-08-28 13:54:51,57,27,0,0,30,0,0
2025-08-28 13:54:52,57,27,0,0,30,0,0
2025-08-28 13:54:53,57,27,0,0,30,0,0
2025-08-28 13:54:54,57,27,0,0,30,0,0
2025-08-28 13:54:55,57,27,0,0,30,0,0
2025-08-28 13:54:56,57,27,0,0,30,0,0
2025-08-28 13:54:57,57,27,0,0,30,0,0
2025-08-28 13:54:58,57,27,0,0,30,0,0
2025-08-28 13:54:59,76,36,0,0,40,0,0
2025-08-28 13:55:00,76,36,0,0,40,0,0
2025-08-28 13:55:01,76,36,0,0,40,0,0
2025-08-28 13:55:02,76,36,0,0,40,0,0
2025-08-28 13:55:03,76,36,0,0,40,0,0
2025-08-28 13:55:04,76,36,0,0,40,0,0
2025-08-28 13:55:05,76,36,0,0,40,0,0
2025-08-28 13:55:06,76,36,0,0,40,0,0
2025-08-28 13:55:07,76,36,0,0,40,0,0
2025-08-28 13:55:08,76,36,0,0,40,0,0
2025-08-28 13:55:09,95,45,0,0,50,0,0
2025-08-28 13:55:10,95,45,0,0,50,0,0
2025-08-28 13:55:11,95,45,0,0,50,0,0
2025-08-28 13:55:12,95,45,0,0,50,0,0
2025-08-28 13:55:13,95,45,0,0,50,0,0
2025-08-28 13:55:14,95,45,0,0,50,0,0
2025-08-28 13:55:15,95,45,0,0,50,0,0
2025-08-28 13:55:16,95,45,0,0,50,0,0
2025-08-28 13:55:17,95,45,0,0,50,0,0
2025-08-28 13:55:18,95,45,0,0,50,0,0
2025-08-28 13:55:19,100,50,0,4,46,0,14
2025-08-28 13:55:20,100,50,0,4,46,0,14
2025-08-28 13:55:21,100,50,0,4,46,0,14
2025-08-28 13:55:22,100,50,0,4,46,0,14
2025-08-28 13:55:23,100,50,0,4,46,0,14
2025-08-28 13:55:24,100,50,0,4,46,0,14
2025-08-28 13:55:25,100,50,0,4,46,0,14
2025-08-28 13:55:26,100,50,0,4,46,0,14
2025-08-28 13:55:27,100,50,0,4,46,0,14
2025-08-28 13:55:28,100,50,0,4,46,0,14
2025-08-28 13:55:29,100,50,0,13,37,0,33
2025-08-28 13:55:30,100,50,0,13,37,0,33
2025-08-28 13:55:31,100,50,0,13,37,0,33
2025-08-28 13:55:32,100,50,0,13,37,0,33
2025-08-28 13:55:33,100,50,0,13,37,0,33
2025-08-28 13:55:34,100,50,0,13,37,0,33
2025-08-28 13:55:35,100,50,0,13,37,0,33
